pidlink,age,male,edu_level,rural,smoking,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration,never_smoking,always_smoking,started_smoking
1060001,59,1,,1,1,,,,,,,,,
1060004,28,0,1,1,0,,,,,,,,,
1060007,39,0,1,1,0,,,,,,,,,
1060008,16,0,2,1,0,,,,,,,,,
1065102,30,1,2,1,0,,,,,,,,,
1080003,36,1,1,1,1,,,,,,,,,
1080008,26,1,1,1,0,,,,,,,,,
1080012,40,0,,1,0,,,,,,,,,
1220001,55,1,,1,1,1,0,0,0,0,0,0,0,1
1220002,54,0,,1,1,1,0,0,0,0,0,0,1,0
1220003,34,1,4,1,1,,,,,,,0,0,1
1220006,28,1,4,1,1,1,0,0,0,0,0,0,1,0
1220008,24,1,4,0,0,,,,,,,0,0,0
1220009,23,1,4,0,0,,,,,,,1,0,0
1220011,32,0,1,1,0,,,,,,,,,
1220013,15,0,2,1,0,,,,,,,,,
1240002,62,0,,1,0,,,,,,,,,
1240003,40,1,1,1,0,,,,,,,,,
1240004,35,1,,1,0,,,,,,,,,
1240005,37,0,,1,0,,,,,,,,,
1240007,30,0,4,1,0,,,,,,,,,
1240009,24,0,2,1,0,,,,,,,,,
1240012,24,1,4,1,0,,,,,,,,,
1240014,17,0,3,1,0,,,,,,,,,
1240016,17,1,3,1,0,,,,,,,,,
1240017,16,0,2,1,0,,,,,,,,,
1240024,25,0,4,1,0,,,,,,,,,
1240025,31,0,,1,1,,,,,,,,,
1245101,50,1,,1,1,,,,,,,,,
1245201,30,1,2,1,1,,,,,,,,,
1250003,34,1,,1,1,1,0,0,0,0,0,0,0,1
1250008,33,0,,1,0,1,0,0,0,0,0,0,0,0
1290001,58,1,,1,1,1,0,0,0,0,0,0,0,1
1290002,50,0,,,,,,,,,,,,
1290003,27,0,1,1,1,,,,,,,,,
1290004,29,1,1,1,0,,,,,,,,,
1290005,25,1,1,1,1,,,,,,,,,
1290008,16,1,2,1,0,,,,,,,,,
1295101,27,1,1,1,1,,,,,,,,,
1295202,22,0,,,,,,,,,,,,
1295304,21,0,,1,0,,,,,,,,,
2010002,67,0,,1,1,1,0,0,0,0,0,0,0,1
2010003,46,0,,1,0,1,0,0,0,0,0,1,0,0
2010004,56,1,,1,0,1,0,0,0,0,0,1,0,0
2010005,26,1,4,1,1,,,,,,,,,
2010006,24,0,1,0,0,,,,,,,,,
2010008,19,0,2,0,0,,,,,,,,,
2010011,16,1,3,1,0,,,,,,,,,
2015101,24,1,2,0,1,,,,,,,,,
2020001,42,1,,1,0,1,0,0,0,0,0,1,0,0
2020011,22,0,2,1,0,,,,,,,,,
2030002,68,0,,1,1,1,0,0,0,0,0,0,1,0
2040001,46,1,,1,0,1,0,0,0,0,0,0,0,0
2040002,45,0,,1,0,,,,,,,0,0,0
2040003,28,0,,1,0,,,,,,,1,0,0
2040004,25,0,4,1,0,0,0,0,0,1,0,0,0,0
2040006,20,0,2,0,0,,,,,,,,,
2040007,16,1,3,1,0,,,,,,,,,
2044102,35,1,,,,,,,,,,,,
2050003,28,1,1,1,0,,,,,,,,,
2050010,26,0,1,1,0,,,,,,,,,
2060002,40,1,,1,1,1,0,0,0,0,0,0,0,1
2060004,34,0,,1,0,,,,,,,,,
2060006,33,0,,1,0,1,0,0,0,0,0,0,0,0
2060007,15,1,2,1,1,,,,,,,,,
2065101,52,1,,1,1,,,,,,,,,
2110006,41,1,,1,1,,,,,,,0,0,1
2110007,39,0,1,1,0,,,,,,,,,
2110009,18,1,,1,0,,,,,,,,,
2114304,15,1,3,1,0,,,,,,,,,
2130001,57,1,,,,,,,,,,,,
2130002,54,0,,,,,,,,,,,,
2150001,64,1,,1,0,,,,,,,,,
2150002,52,0,,1,0,,,,,,,,,
2180002,48,1,,1,1,1,0,0,0,0,0,0,1,0
2180005,45,0,,1,0,1,0,0,0,0,0,0,0,0
2180006,26,1,,1,1,0,0,0,0,1,0,0,0,1
2180007,24,0,,1,0,,,,,,,1,0,0
2180010,19,0,3,1,0,,,,,,,,,
2183101,49,1,,1,1,0,0,0,0,1,0,0,0,1
2184101,27,1,,1,0,,,,,,,1,0,0
2190001,81,0,,1,0,,,,,,,,,
2190002,56,1,,1,0,1,0,0,0,0,0,0,0,0
2190003,46,0,,1,0,1,0,0,0,0,0,1,0,0
2190004,21,0,,1,0,1,0,0,0,0,0,1,0,0
2190005,19,0,3,0,0,,,,,,,,,
2190006,15,0,1,1,0,,,,,,,,,
2190012,30,1,,1,1,,,,,,,,,
2190013,30,0,1,1,0,,,,,,,,,
2200001,54,1,,1,1,,,,,,,,,
2200002,47,0,2,1,0,,,,,,,,,
2200003,25,1,4,1,1,,,,,,,,,
2200004,23,1,4,1,0,,,,,,,,,
2210001,71,1,,1,0,1,0,0,0,0,0,1,0,0
2210008,52,0,,1,0,,,,,,,,,
2220001,41,1,,1,1,1,0,0,0,0,0,0,0,1
2220002,39,0,,1,0,1,0,0,0,0,0,1,0,0
2220004,17,1,3,1,1,,,,,,,,,
