no,ocean_proximity
1,near_bay
2,near_bay
3,near_bay
4,near_bay
5,near_bay
6,near_bay
7,near_bay
8,near_bay
9,near_bay
10,near_bay
11,near_bay
12,near_bay
13,near_bay
14,near_bay
15,near_bay
16,near_bay
17,near_bay
18,near_bay
19,near_bay
20,near_bay
21,near_bay
22,near_bay
23,near_bay
24,near_bay
25,near_bay
26,near_bay
27,near_bay
28,near_bay
29,near_bay
30,near_bay
31,near_bay
32,near_bay
33,near_bay
34,near_bay
35,near_bay
36,near_bay
37,near_bay
38,near_bay
39,near_bay
40,near_bay
41,near_bay
42,near_bay
43,near_bay
44,near_bay
45,near_bay
46,near_bay
47,near_bay
48,near_bay
49,near_bay
50,near_bay
51,near_bay
52,near_bay
53,near_bay
54,near_bay
55,near_bay
56,near_bay
57,near_bay
58,near_bay
59,near_bay
60,near_bay
61,near_bay
62,near_bay
63,near_bay
64,near_bay
65,near_bay
66,near_bay
67,near_bay
68,near_bay
69,near_bay
70,near_bay
71,near_bay
72,near_bay
73,near_bay
74,near_bay
75,near_bay
76,near_bay
77,near_bay
78,near_bay
79,near_bay
80,near_bay
81,near_bay
82,near_bay
83,near_bay
84,near_bay
85,near_bay
86,near_bay
87,near_bay
88,near_bay
89,near_bay
90,near_bay
91,near_bay
92,near_bay
93,near_bay
94,near_bay
95,near_bay
96,near_bay
97,near_bay
98,near_bay
99,near_bay
100,near_bay
101,near_bay
102,near_bay
103,near_bay
104,near_bay
105,near_bay
106,near_bay
107,near_bay
108,near_bay
109,near_bay
110,near_bay
111,near_bay
112,near_bay
113,near_bay
114,near_bay
115,near_bay
116,near_bay
117,near_bay
118,near_bay
119,near_bay
120,near_bay
121,near_bay
122,near_bay
123,near_bay
124,near_bay
125,near_bay
126,near_bay
127,near_bay
128,near_bay
129,near_bay
130,near_bay
131,near_bay
132,near_bay
133,near_bay
134,near_bay
135,near_bay
136,near_bay
137,near_bay
138,near_bay
139,near_bay
140,near_bay
141,near_bay
142,near_bay
143,near_bay
144,near_bay
145,near_bay
146,near_bay
147,near_bay
148,near_bay
149,near_bay
150,near_bay
151,near_bay
152,near_bay
153,near_bay
154,near_bay
155,near_bay
156,near_bay
157,near_bay
158,near_bay
159,near_bay
160,near_bay
161,near_bay
162,near_bay
163,near_bay
164,near_bay
165,near_bay
166,near_bay
167,near_bay
168,near_bay
169,near_bay
170,near_bay
171,near_bay
172,near_bay
173,near_bay
174,near_bay
175,near_bay
176,near_bay
177,near_bay
178,near_bay
179,near_bay
180,near_bay
181,near_bay
182,near_bay
183,near_bay
184,near_bay
185,near_bay
186,near_bay
187,near_bay
188,near_bay
189,near_bay
190,near_bay
191,near_bay
192,near_bay
193,near_bay
194,near_bay
195,near_bay
196,near_bay
197,near_bay
198,near_bay
199,near_bay
200,near_bay
201,near_bay
202,near_bay
203,near_bay
204,near_bay
205,near_bay
