hhid14_9,age,male,pidlink
1060000,59,1,1060001
1060004,28,0,1060004
1060000,39,0,1060007
1060000,16,0,1060008
1060004,30,1,1065102
1080003,36,1,1080003
1080000,26,1,1080008
1080003,40,0,1080012
1220000,55,1,1220001
1220000,54,0,1220002
1224100,34,1,1220003
1220000,28,1,1220006
1224200,24,1,1220008
1220009,23,1,1220009
1224100,32,0,1220011
1224100,15,0,1220013
1240000,62,0,1240002
1240000,40,1,1240003
1240000,35,1,1240004
1240005,37,0,1240005
1240000,30,0,1240007
1240009,24,0,1240009
1240000,24,1,1240012
1240000,17,0,1240014
1240000,17,1,1240016
1240000,16,0,1240017
1240000,25,0,1240024
1240000,31,0,1240025
1240005,50,1,1245101
1240009,30,1,1245201
1250000,34,1,1250003
1250000,33,0,1250008
1290000,58,1,1290001
1290005,50,0,1290002
1290003,27,0,1290003
1290004,29,1,1290004
1290005,25,1,1290005
1290000,16,1,1290008
1290003,27,1,1295101
1290004,22,0,1295202
1290005,21,0,1295304
2010000,67,0,2010002
2010000,46,0,2010003
2010000,56,1,2010004
2010000,26,1,2010005
2010006,24,0,2010006
2010008,19,0,2010008
2010000,16,1,2010011
2010006,24,1,2015101
2020000,42,1,2020001
2020000,22,0,2020011
2040000,68,0,2030002
2040000,46,1,2040001
2040000,45,0,2040002
2044100,28,0,2040003
2040000,25,0,2040004
2040006,20,0,2040006
2040000,16,1,2040007
2044100,35,1,2044102
2050000,28,1,2050003
2050000,26,0,2050010
2060000,40,1,2060002
2060004,34,0,2060004
2060000,33,0,2060006
2060000,15,1,2060007
2060004,52,1,2065101
2114300,41,1,2110006
2114300,39,0,2110007
2114200,18,1,2110009
2114300,15,1,2114304
2130000,57,1,2130001
2130000,54,0,2130002
2150000,64,1,2150001
2150000,52,0,2150002
2180000,48,1,2180002
2180000,45,0,2180005
2180000,26,1,2180006
2184100,24,0,2180007
2180000,19,0,2180010
2183100,49,1,2183101
2184100,27,1,2184101
2190000,81,0,2190001
2190000,56,1,2190002
2190000,46,0,2190003
2190000,21,0,2190004
2190005,19,0,2190005
2190000,15,0,2190006
2190000,30,1,2190012
2190000,30,0,2190013
2200000,54,1,2200001
2200000,47,0,2200002
2200000,25,1,2200003
2200000,23,1,2200004
2210000,71,1,2210001
2210000,52,0,2210008
2220000,41,1,2220001
2220000,39,0,2220002
2220000,17,1,2220004
2250000,48,0,2250002
2250000,28,1,2250004
2250000,26,1,2250005
2254100,25,0,2250006
2250000,67,0,2250009
2250000,25,0,2250010
2260000,71,1,2260001
2260000,61,0,2260002
2260000,31,0,2260005
2260000,22,1,2260008
2260000,18,0,2260011
2270005,20,0,2270005
2290000,47,1,2290001
2290002,44,0,2290002
2290002,26,1,2290003
2294200,45,1,2290007
2294200,17,0,2294202
2294200,16,0,2294203
2290002,17,0,2295103
2300000,30,0,2300007
2300000,34,1,2300014
3010000,66,1,3010001
3010000,55,0,3010002
3014100,36,0,3010004
3010005,31,0,3010005
3010007,25,0,3010007
3010008,23,0,3010008
3010000,19,1,3010009
3014100,39,1,3014101
3010005,28,1,3015102
3010007,27,1,3015202
3010008,23,1,3015301
3020000,47,1,3020001
3020000,49,0,3020002
3020000,29,1,3020003
3020000,27,1,3020004
3020005,24,0,3020005
3020000,22,1,3020006
3020000,20,1,3020007
3020000,19,1,3020008
3030000,40,1,3030003
3031200,36,0,3030005
3030000,40,0,3030007
3030000,15,1,3030008
3034200,18,1,3031204
3040000,47,1,3040001
3040000,44,0,3040002
3040003,25,0,3040003
3040000,22,0,3040004
3040000,19,0,3040005
3040000,17,0,3040006
3040007,16,0,3040007
3040003,27,1,3045101
3050000,77,1,3050001
3050000,63,0,3050002
3050003,39,0,3050003
3054100,34,0,3050004
3050000,33,1,3050005
3050006,31,1,3050006
3050000,26,0,3050007
3050000,24,0,3050008
3050009,18,0,3050009
3050000,26,1,3050010
3054100,39,1,3054101
3050003,42,1,3055101
3050006,30,0,3055202
3070000,51,0,3070002
3080000,94,0,3070005
3080000,52,0,3080002
3080000,27,1,3080006
3080000,18,1,3080009
3090000,63,0,3090002
3090005,35,1,3090005
3094100,30,0,3090006
3121100,43,1,3090008
3090000,20,0,3090019
3094100,32,1,3094102
3100000,69,0,3100002
3100000,40,0,3100003
3104100,43,1,3100004
3104200,35,0,3100005
3104100,43,0,3100006
3104100,19,1,3104103
3104200,36,1,3104201
3110000,45,1,3110001
3110000,48,0,3110002
3110003,26,0,3110003
3110000,24,1,3110004
3110000,18,0,3110005
3110003,28,1,3115101
3120000,47,1,3120001
3120000,50,0,3120002
3124100,26,0,3120003
3124200,24,1,3120004
3121100,33,0,3120005
3121100,18,1,3121103
3121100,16,0,3121104
3130000,55,1,3130001
3130000,47,0,3130002
3134100,28,1,3130003
3130000,18,1,3130007
3134100,28,0,3134105
3140000,68,0,3140002
3143100,33,0,3140004
3140000,48,1,3140005
3140000,47,0,3140006
3143100,36,1,3143101
3150000,61,0,3150001
3150000,37,0,3150002
3150003,28,0,3150003
3150000,40,1,3153101
3150000,16,0,3153103
3150003,35,1,3155101
3170000,60,0,3170001
3170002,42,0,3170002
3173100,39,1,3170003
3174100,38,1,3170004
3173100,38,0,3170005
3170006,19,0,3170006
3173100,16,1,3173104
3174100,36,0,3174102
3170006,23,1,3175201
3180000,61,0,3180002
3184100,32,0,3180003
3183100,30,1,3180004
3180005,29,0,3180005
3184200,28,0,3180006
3180000,23,1,3180007
3183100,28,0,3183104
3184100,38,1,3184101
3184200,33,1,3184202
3180005,29,1,3185101
3190000,62,1,3190001
3190000,58,0,3190002
3193100,36,1,3190003
3191100,35,0,3190004
3194100,32,1,3190005
3191100,42,1,3191101
3193100,45,0,3193102
3194100,30,0,3194102
3203100,43,0,3200003
3200004,35,1,3200004
3200000,56,1,3200005
3200000,26,0,3200007
3200000,17,1,3200010
3203100,17,0,3203103
3203100,17,1,3203104
3203100,44,1,3203105
3200004,34,0,3205102
3243100,49,1,3240002
3243200,43,0,3240003
3244100,33,0,3240005
3243100,40,0,3240006
3240000,47,1,3240007
3240000,42,0,3240008
3240000,24,1,3240009
3240000,22,0,3240010
3240000,19,1,3240011
3243100,16,0,3243103
3243200,19,1,3243205
3243206,17,0,3243206
3243200,39,1,3243207
3244100,39,1,3244101
3243206,21,1,3245401
3250000,87,0,3250001
3250000,46,1,3250004
3250000,41,0,3250005
3250000,21,0,3250007
3250000,16,0,3250009
3260000,59,1,3260001
3264100,31,1,3260003
3260004,29,1,3260004
3260005,26,0,3260005
3260006,25,1,3260006
3260008,18,0,3260008
3260000,51,0,3260009
3264100,29,0,3264102
3260004,28,0,3265102
3260005,27,1,3265202
3270000,56,1,3270001
3270000,55,0,3270002
3270000,21,1,3270003
3270000,18,1,3270004
3270000,22,0,3270006
3280000,54,1,3280001
3280000,48,0,3280002
3280000,27,1,3280003
3280000,24,1,3280005
3290000,51,1,3290001
3290000,47,0,3290002
3294100,27,1,3290003
3294100,21,1,3290005
3290000,17,0,3290006
3294100,25,0,3294106
3300000,57,0,3300003
4010000,47,0,4010002
4010003,25,1,4010003
4010005,19,1,4010005
4020000,46,0,4020002
4024100,27,1,4020005
4020007,24,0,4020007
4020008,22,0,4020008
4020000,21,1,4020009
4024100,28,0,4024104
4020008,33,1,4025201
4030001,62,1,4030001
4030000,41,0,4030003
4032100,24,1,4030008
4030000,44,1,4030009
4030000,20,1,4030010
4030011,18,1,4030011
4032100,23,0,4032109
4030001,51,0,4035102
4030001,17,1,4035103
4040000,57,0,4040002
4040000,33,1,4040003
4040006,27,0,4040006
4040000,21,1,4040008
4040000,35,0,4040011
4040006,29,1,4045102
4050000,50,1,4050001
4050000,45,0,4050002
4050003,21,0,4050003
4050004,19,0,4050004
4102104,18,0,4050005
4050006,17,1,4050006
4050003,28,1,4055102
4060000,66,1,4060001
4060000,64,0,4060002
4060003,34,1,4060003
4060004,31,1,4060004
4060005,29,1,4060005
4060000,69,1,4060007
4060003,29,0,4065102
4060004,36,0,4065202
4060005,35,0,4065302
4073100,49,0,4070002
4070005,39,0,4070005
4070000,34,1,4070007
4073100,28,0,4070008
4074300,27,0,4070009
4070000,23,0,4070012
4074300,52,1,4073101
4090000,41,0,4090003
4090000,41,1,4090007
4090000,42,0,4090008
4100000,64,0,4100001
4103100,43,1,4100002
4102100,37,0,4100003
4104100,35,1,4100004
4104200,33,1,4100005
4100006,30,1,4100006
4100008,28,0,4100008
4100000,24,1,4100009
4100010,18,0,4100010
4102100,41,1,4102101
4102104,16,0,4102104
4103100,41,0,4103102
4103100,17,1,4103103
4103100,15,1,4103104
4104100,32,0,4104102
4104200,31,0,4104202
4100006,25,0,4105102
4100008,37,1,4105202
4111100,35,1,4110003
4111100,32,0,4111103
4130000,76,1,4130001
4130000,75,0,4130002
4132100,33,1,4130003
4130000,31,1,4130004
4134100,36,0,4130005
4130006,17,0,4130006
4130000,15,1,4130007
4132100,32,0,4132102
4134100,50,1,4134101
4140000,61,1,4140001
4140000,61,0,4140002
4144100,33,1,4140004
4140005,30,1,4140005
4140006,27,1,4140006
4140007,24,0,4140007
4140005,23,0,4140011
4144100,33,0,4144102
4150000,46,1,4150003
4150000,47,0,4150004
4150005,20,0,4150005
4150007,16,0,4150007
4160000,48,1,4160001
4160000,50,0,4160002
4160003,26,1,4160003
4160004,25,0,4160004
4160005,21,1,4160005
4170000,73,1,4170004
4170000,63,0,4170005
4170000,40,1,4170006
4170000,26,0,4170007
4180000,51,1,4180001
4194100,59,0,4190002
4194100,29,1,4190003
4194100,27,0,4194102
4200000,48,1,4200001
4200000,45,0,4200002
4204100,22,0,4200003
4204100,22,1,4200004
4220000,66,1,4220001
4220003,36,1,4220003
4220000,33,0,4220004
4224200,28,0,4220006
4220003,35,0,4225102
4230000,68,1,4230001
4230000,69,0,4230002
4232100,32,0,4230003
4232100,36,1,4232102
4240000,64,1,4240001
4240000,63,0,4240002
4242200,34,0,4240004
4240000,28,1,4240006
4242200,37,1,4242202
4250000,74,1,4250001
4253100,40,1,4250003
4253100,40,0,4253102
4264100,56,0,4260002
4264200,35,1,4260005
4260000,32,1,4260006
4264100,20,1,4260008
4260000,24,0,4260015
4264200,32,0,4264202
4274100,44,1,4270001
4270000,22,1,4270004
4274100,18,1,4270006
4274100,16,1,4274103
4274100,37,0,4274105
4280000,80,1,4280001
4280000,33,0,4280004
4280007,15,0,4280007
4290000,64,1,4290001
4290000,60,0,4290002
4290000,32,0,4290004
4290005,30,1,4290005
4290005,22,0,4295102
4302200,40,0,4300005
4302200,52,1,4302201
4302200,15,0,4302205
5010000,87,0,5010002
5013100,48,1,5010003
5010000,57,0,5010004
5010000,54,1,5010005
5013100,41,0,5013102
5030000,51,0,5030001
5034100,29,0,5030002
5030000,17,1,5030003
5030000,15,0,5030006
5034100,34,1,5034101
5044100,32,1,5040004
5044200,30,1,5040005
5040000,36,0,5043103
5044100,23,0,5044107
5044200,28,0,5044202
5050000,57,1,5050001
5050000,56,0,5050002
5050000,16,1,5050003
5060000,56,1,5060001
5060000,49,0,5060002
5060003,33,1,5060003
5064100,29,0,5060004
5060000,16,1,5060007
5064100,36,1,5064101
5060003,24,0,5065102
5070000,65,1,5070001
5070000,59,0,5070002
5080000,63,1,5080002
5080000,59,0,5080003
5090000,70,1,5090001
5090000,64,0,5090002
5090005,40,1,5090005
5090010,22,0,5090010
5090011,17,1,5090011
5090000,16,0,5090015
5094100,27,1,5094101
5090005,31,0,5095102
5090010,26,1,5095201
5100000,48,1,5100001
5100000,52,0,5100002
5104100,27,0,5100003
5100000,21,1,5100005
5104100,27,1,5104101
5111100,48,1,5110003
5110000,59,1,5110004
5110000,54,0,5110005
5110000,26,0,5110006
5110000,32,1,5110008
5111100,44,0,5111102
5111100,16,0,5111104
5134100,44,0,5130002
5134100,24,1,5130003
5130000,78,0,5130005
5131200,31,1,5130006
5130008,19,1,5130008
5130000,19,0,5130012
5130000,22,1,5130013
5131200,35,0,5131203
5134100,52,1,5134101
5130008,19,0,5135102
5140000,68,1,5140001
5140000,63,0,5140002
5143100,40,0,5140003
5144100,32,0,5140005
5144200,30,0,5140006
5140007,28,1,5140007
5143100,39,1,5143101
5144100,32,1,5144101
5144200,32,1,5144201
5140007,28,0,5145103
5150000,45,1,5150001
5150000,44,0,5150002
5150000,17,1,5150003
5160000,54,1,5160001
5160000,51,0,5160002
5164100,32,0,5160003
5164200,30,0,5160004
5160000,29,1,5160005
5160000,23,1,5160006
5160007,20,0,5160007
5164100,43,1,5164101
5164100,15,1,5164103
5164200,36,1,5164201
5160007,27,1,5165101
5170000,66,1,5170001
5170000,51,0,5170002
5174100,29,1,5170003
5170000,26,1,5170004
5174100,27,0,5174103
5180000,58,1,5180001
5180000,56,0,5180002
5180003,37,0,5180003
5180005,30,1,5180005
5180000,22,0,5180007
5180000,15,1,5180008
5180003,43,1,5185102
5180003,16,1,5185103
5180005,27,0,5185202
5200000,58,1,5200001
5200000,49,0,5200002
5200003,30,1,5200003
5200000,28,1,5200004
5200000,24,0,5200005
5200000,20,1,5200006
5200000,19,1,5200007
5200000,16,0,5200008
6010000,49,1,6010001
6010000,49,0,6010002
6010003,26,0,6010003
6010004,20,0,6010004
6010003,27,1,6015101
6020000,63,0,6020002
6030000,57,1,6030001
6030000,55,0,6030002
6034100,30,1,6030003
6034200,27,1,6030004
6030000,21,0,6030005
6030000,18,0,6030006
6030000,22,1,6030007
6034100,37,0,6034102
6034200,26,0,6034202
6040000,63,1,6040001
6040002,55,0,6040002
6043100,40,1,6040003
6041100,36,1,6040004
6044100,31,0,6040005
6041100,37,0,6041102
6043100,39,0,6043102
6043100,18,0,6043103
6043100,15,1,6043104
6044100,35,1,6044101
6060001,57,1,6060001
6060001,54,0,6060002
6060001,25,1,6060003
6060000,47,1,6060004
6060000,44,0,6060005
6060007,22,0,6060007
6060007,18,1,6060008
6070000,55,1,6070001
6070000,53,0,6070002
6070000,27,1,6070003
6070000,26,1,6070004
6080000,55,1,6080001
6080000,53,0,6080002
6084200,29,0,6080004
6080000,23,1,6080005
6080000,25,0,6080009
6084100,36,1,6084101
6084100,30,0,6084105
6084200,33,1,6084201
6090000,54,1,6090001
6090000,52,0,6090002
6094100,29,0,6090003
6090004,27,0,6090004
6094200,25,1,6090005
6094100,31,1,6094101
6094200,25,0,6094202
6090004,30,1,6095101
6100001,57,1,6100001
6100000,53,0,6100002
6104100,34,1,6100003
6104200,33,1,6100004
6100005,28,1,6100005
6100001,17,1,6100006
6104100,26,0,6104102
6110000,64,0,6110002
6113100,40,1,6110003
6114100,31,0,6110005
6110000,46,1,6110006
6110000,46,0,6110007
6110000,22,1,6110008
6110000,18,0,6110009
6110000,15,1,6110010
6113100,35,0,6113102
6114100,15,1,6113103
6114100,32,1,6114101
6120000,56,1,6120001
6120000,52,0,6120002
6123100,35,0,6120003
6120005,18,1,6120005
6120006,20,0,6120006
6123100,38,1,6121104
