hhid14_9,edu_level,pidlink
1060004,1,1060004
1060000,1,1060007
1060000,1,1060008
1060000,2,1060008
1060004,1,1065102
1060004,2,1065102
1080003,1,1080003
1080000,1,1080008
1224100,4,1220003
1224100,,1220003
1224100,,1220003
1224100,,1220003
1220000,4,1220006
1220000,,1220006
1220000,,1220006
1220000,,1220006
1224200,2,1220008
1224200,3,1220008
1224200,4,1220008
1224200,,1220008
1220009,4,1220009
1220009,,1220009
1220009,,1220009
1220009,,1220009
1224100,1,1220011
1224100,1,1220013
1224100,2,1220013
1240000,1,1240003
1240000,1,1240007
1240000,2,1240007
1240000,3,1240007
1240000,4,1240007
1240009,1,1240009
1240009,2,1240009
1240000,1,1240012
1240000,2,1240012
1240000,3,1240012
1240000,4,1240012
1240000,1,1240014
1240000,2,1240014
1240000,3,1240014
1240000,1,1240016
1240000,2,1240016
1240000,3,1240016
1240000,1,1240017
1240000,2,1240017
1240000,1,1240024
1240000,2,1240024
1240000,3,1240024
1240000,4,1240024
1240009,1,1245201
1240009,2,1245201
1290003,1,1290003
1290004,1,1290004
1290005,1,1290005
1290000,1,1290008
1290000,2,1290008
1290003,1,1295101
2010000,1,2010005
2010000,2,2010005
2010000,3,2010005
2010000,4,2010005
2010006,1,2010006
2010008,1,2010008
2010008,2,2010008
2010000,1,2010011
2010000,2,2010011
2010000,3,2010011
2010006,1,2015101
2010006,2,2015101
2020000,1,2020011
2020000,2,2020011
2040000,3,2040004
2040000,4,2040004
2040000,,2040004
2040000,,2040004
2040006,1,2040006
2040006,2,2040006
2040000,1,2040007
2040000,2,2040007
2040000,3,2040007
2050000,1,2050003
2050000,1,2050010
2060000,1,2060007
2060000,2,2060007
2114300,1,2110007
2114300,1,2114304
2114300,2,2114304
2114300,3,2114304
2180000,1,2180010
2180000,2,2180010
2180000,3,2180010
2190005,1,2190005
2190005,2,2190005
2190005,3,2190005
2190000,1,2190006
2190000,1,2190013
2200000,1,2200002
2200000,2,2200002
2200000,1,2200003
2200000,2,2200003
2200000,3,2200003
2200000,4,2200003
2200000,1,2200004
2200000,2,2200004
2200000,3,2200004
2200000,4,2200004
2220000,1,2220004
2220000,2,2220004
2220000,3,2220004
2250000,1,2250005
2250000,2,2250005
2250000,3,2250005
2250000,4,2250005
2254100,2,2250006
2254100,3,2250006
2254100,4,2250006
2254100,,2250006
2250000,1,2250010
2250000,2,2250010
2250000,3,2250010
2250000,4,2250010
2260000,1,2260005
2260000,1,2260011
2270005,1,2270005
2270005,2,2270005
2270005,3,2270005
2270005,4,2270005
2290002,1,2290003
2290002,2,2290003
2290002,3,2290003
2294200,1,2294203
2290002,1,2295103
2290002,2,2295103
2300000,1,2300007
2300000,1,2300014
3010005,1,3010005
3010005,2,3010005
3010005,3,3010005
3010008,3,3010008
3010008,,3010008
3010008,,3010008
3010000,1,3010009
3010000,2,3010009
3010000,3,3010009
3010005,1,3015102
3010005,2,3015102
3010008,1,3015301
3020000,1,3020002
3020000,1,3020003
