hhid14_9,migrated_2007_2014,pidlink
1060000,,1060001
1060004,,1060004
1060000,,1060007
1060000,,1060008
1060004,,1065102
1080003,,1080003
1080000,,1080008
1080003,,1080012
1220000,0,1220001
1220000,0,1220002
1224100,0,1220003
1220000,0,1220006
1224200,0,1220008
1220009,1,1220009
1224100,,1220011
1224100,,1220013
1240000,,1240002
1240000,,1240003
1240000,,1240004
1240005,,1240005
1240000,,1240007
1240009,,1240009
1240000,,1240012
1240000,,1240014
1240000,,1240016
1240000,,1240017
1240000,,1240024
1240000,,1240025
1240005,,1245101
1240009,,1245201
1250000,0,1250003
1250000,0,1250008
1290000,0,1290001
1290003,,1290003
1290004,,1290004
1290005,,1290005
1290000,,1290008
1290003,,1295101
1290005,,1295304
2010000,0,2010002
2010000,0,2010003
2010000,0,2010004
2010000,,2010005
2010006,,2010006
2010008,,2010008
2010000,,2010011
2010006,,2015101
2020000,0,2020001
2020000,,2020011
2040000,0,2030002
2040000,0,2040001
2040000,,2040002
2044100,1,2040003
2040000,1,2040004
2040006,,2040006
2040000,,2040007
2050000,,2050003
2050000,,2050010
2060000,0,2060002
2060004,,2060004
2060000,0,2060006
2060000,,2060007
2060004,,2065101
2114300,1,2110006
2114300,,2110007
2114300,,2114304
2150000,,2150001
2150000,,2150002
2180000,0,2180002
2180000,0,2180005
2180000,1,2180006
2184100,1,2180007
2180000,,2180010
2183100,1,2183101
2184100,,2184101
2190000,,2190001
2190000,0,2190002
2190000,0,2190003
2190000,0,2190004
2190005,,2190005
2190000,,2190006
2190000,,2190012
2190000,,2190013
2200000,,2200001
2200000,,2200002
2200000,,2200003
2200000,,2200004
2210000,0,2210001
2210000,,2210008
2220000,0,2220001
2220000,0,2220002
2220000,,2220004
2250000,0,2250002
2250000,1,2250004
2250000,,2250005
2254100,0,2250006
2250000,,2250009
2250000,,2250010
2260000,,2260001
2260000,0,2260002
2260000,,2260005
2260000,0,2260008
2260000,,2260011
2270005,,2270005
2290000,,2290001
2290002,,2290003
2294200,1,2290007
2294200,,2294202
2294200,,2294203
2290002,,2295103
2300000,,2300007
2300000,,2300014
3010000,,3010001
3010000,0,3010002
3014100,0,3010004
3010005,,3010005
3010007,1,3010007
3010008,0,3010008
3010000,,3010009
3014100,0,3014101
3010005,,3015102
3010007,,3015202
3010008,,3015301
3020000,0,3020001
3020000,,3020002
3020000,,3020003
3020000,,3020004
3020005,0,3020005
3020000,,3020006
3020000,,3020007
3020000,,3020008
3030000,0,3030003
3031200,0,3030005
3030000,0,3030007
3030000,,3030008
3034200,,3031204
3040000,,3040001
3040000,0,3040002
3040003,1,3040003
3040000,0,3040004
3040000,,3040005
3040000,,3040006
3040007,,3040007
3040003,,3045101
3050000,0,3050001
3050000,0,3050002
3050003,,3050003
3054100,0,3050004
3050000,0,3050005
3050006,1,3050006
3050000,1,3050007
3050000,1,3050008
3050009,,3050009
3050000,,3050010
3054100,0,3054101
3050003,,3055101
3050006,,3055202
3070000,1,3070002
3080000,,3070005
3080000,0,3080002
3080000,,3080006
3080000,,3080009
3090000,0,3090002
3090005,,3090005
3094100,1,3090006
3121100,0,3090008
3090000,,3090019
3094100,,3094102
3100000,,3100002
3100000,0,3100003
3104100,0,3100004
3104200,,3100005
3104100,0,3100006
3104100,,3104103
3104200,0,3104201
3110000,,3110001
3110000,0,3110002
3110003,,3110003
3110000,,3110005
3110003,,3115101
3120000,0,3120001
3120000,0,3120002
3124100,1,3120003
3124200,1,3120004
3121100,0,3120005
3121100,,3121103
3121100,,3121104
3130000,,3130001
3130000,1,3130002
3134100,,3130003
3130000,,3130007
3134100,,3134105
3140000,,3140002
3143100,0,3140004
3140000,0,3140005
3140000,0,3140006
3143100,,3143101
3150000,0,3150001
3150000,0,3150002
3150003,1,3150003
3150000,0,3153101
3150000,,3153103
3150003,,3155101
3170000,,3170001
3170002,0,3170002
3173100,,3170003
3174100,,3170004
3173100,,3170005
3170006,,3170006
3173100,,3173104
3174100,0,3174102
3170006,,3175201
3180000,0,3180002
3184100,0,3180003
3183100,1,3180004
3180005,0,3180005
3184200,1,3180006
3180000,1,3180007
3183100,,3183104
