hhid14_9,rural
1060000,1
1060004,1
1080000,1
1080003,1
1220000,1
1220009,0
1224100,1
1224200,0
1240000,1
1240005,1
1240009,1
1250000,1
1290000,1
1290003,1
1290004,1
1290005,1
2010000,1
2010006,0
2010008,0
2020000,1
2040000,1
2040006,0
2044100,1
2044200,0
2050000,1
2060000,1
2060004,1
2114200,1
2114300,1
2130000,1
2150000,1
2180000,1
2183100,1
2184100,1
2190000,1
2190005,0
2200000,1
2210000,1
2220000,1
2250000,1
2254100,0
2260000,1
2270005,0
2274100,0
2290000,1
2290002,1
2294200,1
2300000,1
3010000,1
3010005,1
3010007,1
3010008,1
3014100,1
3020000,1
3020005,1
3024100,1
3030000,1
3031200,1
3034200,1
3040000,1
3040003,1
3040007,1
3050000,1
3050003,1
3050006,0
3050009,0
3054100,1
3070000,1
3080000,1
3090000,1
3090005,1
3094100,1
3100000,1
3104100,1
3104200,1
3110000,1
3110003,1
3120000,1
3121100,1
3124100,1
3124200,0
3130000,1
3134100,0
3140000,1
3143100,1
3150000,1
3150003,0
3170000,1
3170002,1
3170006,1
3173100,1
3174100,0
3180000,1
3180005,1
3183100,1
3184100,1
3184200,0
3190000,1
3191100,1
3193100,0
3194100,1
3194103,0
3200000,1
3200004,0
3203100,1
3240000,1
3240012,1
3243100,1
3243200,1
3243206,1
3244100,0
3250000,1
3260000,1
3260004,0
3260005,1
3260006,1
3260008,0
3264100,1
3270000,1
3280000,1
3283100,1
3290000,1
3294100,0
3300000,1
4010000,1
4010003,0
4010005,0
4020000,1
4020007,0
4020008,0
4024100,1
4030000,1
4030001,1
4030011,0
4032100,1
4040000,1
4040006,1
4044100,0
4050000,1
4050003,1
4050004,0
4050006,1
4060000,1
4060003,1
4060004,1
4060005,1
4070000,1
4070005,1
4073100,1
4074300,1
4090000,1
4100000,1
4100006,1
4100008,1
4100010,0
4102100,1
4102104,0
4103100,1
4104100,1
4104200,1
4111100,1
4130000,1
4130006,0
4132100,1
4134100,0
4140000,1
4140005,1
4140006,1
4140007,0
4144100,1
4150000,1
4150005,0
4150007,0
4160000,1
4160003,0
4160004,0
4160005,0
4164100,0
4170000,0
4180000,1
4194100,0
4200000,1
4204100,0
4220000,1
4220003,1
4222200,1
4224200,1
4230000,1
4232100,0
4240000,1
4242200,1
4250000,1
4253100,1
4260000,1
4264100,0
4264200,1
4270000,1
4274100,1
4280000,1
4280007,0
4290000,1
4290005,1
4302200,1
5010000,0
5013100,0
5030000,0
5034100,1
5040000,0
5044100,0
5044200,0
5050000,1
5060000,0
5060003,0
5064100,0
5070000,0
5080000,0
5090000,1
5090005,1
5090010,1
5090011,0
5094100,1
5100000,0
5104100,0
5110000,0
5111100,1
5130000,0
5130008,1
5131200,0
5134100,1
5140000,0
5140007,0
5143100,0
5144100,0
5144200,0
5150000,0
5160000,1
5160007,1
5164100,0
5164200,1
5170000,0
5174100,1
5180000,0
5180003,0
5180005,0
5200000,0
5200003,0
6010000,0
6010003,0
6010004,1
6020000,0
6030000,1
6034100,1
6034200,1
6040000,0
6040002,1
6041100,0
6043100,0
6044100,0
6044200,0
6060000,0
6060001,1
6060007,0
6070000,1
6080000,0
6084100,1
6084200,1
6090000,1
6090004,1
6094100,1
6094200,1
6100000,1
6100001,0
6100005,0
6104100,1
6104200,1
6110000,1
6113100,0
6114100,0
6114300,1
6120000,1
6120005,1
6120006,1
6123100,1
6130000,0
6140000,0
6140003,0
6144100,0
6144200,0
6160000,0
6170000,1
6170005,1
6174100,1
6180000,1
6190000,0
6190004,0
6193100,0
6200000,1
6200003,1
6204100,0
7014100,1
7020000,1
7030000,1
7030005,1
7033100,1
7033103,1
7040000,1
7040003,1
7050000,1
7060000,1
7060005,0
7060006,1
7064100,1
7064200,1
7070000,1
7072100,1
7080000,0
7080001,0
7090000,1
7090002,1
7092100,0
7092200,1
7100000,1
7110000,1
7120000,1
7130000,1
7130004,0
7130006,1
7133100,1
7140000,1
7141100,1
7143100,1
7150000,1
7150005,0
7160000,1
7160006,1
7163100,1
7164100,0
7180000,1
7180003,1
7180004,1
7180007,0
7184100,0
7200000,1
7202100,1
7220000,1
7220004,1
7224100,1
7230000,1
7230006,1
7233100,1
7233103,1
7240000,1
7240003,1
7250000,1
7250009,1
7254100,0
7260000,1
7260003,1
7260004,1
7264100,1
7270000,1
7280000,1
7280005,1
7281100,0
7290000,1
8010000,1
8010005,1
8014100,1
8014200,1
8020000,1
8024100,1
8024200,1
8030000,1
8033100,0
8040000,1
8040003,0
8043100,1
8044100,1
8050000,1
8050005,0
8060000,1
8063100,1
8070000,1
8074100,1
8074200,1
8080000,1
8080005,0
8083100,1
8084100,0
8090000,0
8090007,1
8090008,0
8094100,1
8094200,1
8100000,1
8104100,0
8110000,1
8110003,1
8110005,1
8120000,1
8120004,0
8120005,1
8120006,1
8130000,1
8140000,1
8140006,1
8144100,1
8144200,1
8150000,1
8150005,1
8150008,1
8153100,1
8154100,1
8160000,1
8170000,1
8173100,1
8190000,1
8194100,1
8200000,1
8200001,1
8200004,1
8204100,1
8210000,1
8220000,1
8220001,0
8220004,1
8220005,1
8234100,1
8240000,1
8240005,1
8243100,0
8244100,1
8250000,1
8254100,0
8260000,1
8260005,1
8270000,1
8270005,1
8270008,0
8273100,0
8274100,1
8274200,0
8280000,1
8280003,0
8280007,1
8290000,1
