pidlink,age,male,edu_level,rural,smoking,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration,never_smoking,always_smoking,started_smoking
1060001.0,59.0,1.0,1.0,1.0,1.0,,,,,,,,,
1060004.0,28.0,0.0,1.0,1.0,0.0,,,,,,,,,
1060007.0,39.0,0.0,0.0,1.0,0.0,,,,,,,,,
1060008.0,16.0,0.0,2.0,1.0,0.0,,,,,,,,,
1065102.0,30.0,1.0,2.0,1.0,0.0,,,,,,,,,
1080003.0,36.0,1.0,1.0,1.0,1.0,,,,,,,,,
1080008.0,26.0,1.0,1.0,1.0,0.0,,,,,,,,,
1080012.0,40.0,0.0,1.0,1.0,0.0,,,,,,,,,
1220001.0,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1220002.0,54.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1220003.0,34.0,1.0,4.0,1.0,1.0,,,,,,,0.0,0.0,1.0
1220006.0,28.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1220008.0,24.0,1.0,4.0,0.0,0.0,,,,,,,0.0,0.0,0.0
1220009.0,23.0,1.0,4.0,0.0,0.0,,,,,,,1.0,0.0,0.0
1220011.0,32.0,0.0,2.0,1.0,0.0,,,,,,,,,
1220013.0,15.0,0.0,2.0,1.0,0.0,,,,,,,,,
1240002.0,62.0,0.0,1.0,1.0,0.0,,,,,,,,,
1240003.0,40.0,1.0,1.0,1.0,0.0,,,,,,,,,
1240004.0,35.0,1.0,0.0,1.0,0.0,,,,,,,,,
1240005.0,37.0,0.0,1.0,1.0,0.0,,,,,,,,,
1240007.0,30.0,0.0,4.0,1.0,0.0,,,,,,,,,
1240009.0,24.0,0.0,2.0,1.0,0.0,,,,,,,,,
1240012.0,24.0,1.0,4.0,1.0,0.0,,,,,,,,,
1240014.0,17.0,0.0,3.0,1.0,0.0,,,,,,,,,
1240016.0,17.0,1.0,3.0,1.0,0.0,,,,,,,,,
1240017.0,16.0,0.0,2.0,1.0,0.0,,,,,,,,,
1240024.0,25.0,0.0,4.0,1.0,0.0,,,,,,,,,
1240025.0,31.0,0.0,0.0,1.0,1.0,,,,,,,,,
1245101.0,50.0,1.0,1.0,1.0,1.0,,,,,,,,,
1245201.0,30.0,1.0,2.0,1.0,1.0,,,,,,,,,
1250003.0,34.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1250008.0,33.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290001.0,58.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1290002.0,50.0,0.0,0.0,,,,,,,,,,,
1290003.0,27.0,0.0,1.0,1.0,1.0,,,,,,,,,
1290004.0,29.0,1.0,1.0,1.0,0.0,,,,,,,,,
1290005.0,25.0,1.0,1.0,1.0,1.0,,,,,,,,,
1290008.0,16.0,1.0,2.0,1.0,0.0,,,,,,,,,
1295101.0,27.0,1.0,1.0,1.0,1.0,,,,,,,,,
