hhid07_9,lagged_rural
1220000,1
1220003,1
1220008,0
1250000,1
1290000,1
2010000,1
2020000,1
2030000,1
2040000,1
2040003,1
2040004,0
2060000,1
2090000,1
2110000,1
2110004,0
2110008,1
2110009,1
2160000,1
2180000,1
2180007,1
2183100,1
2190000,1
2210000,1
2220000,1
2250000,1
2250006,0
2260000,1
2270000,1
2270005,0
2280000,1
2290000,1
2290004,0
2290007,1
2300000,1
3010000,1
3010004,1
3020000,1
3020005,1
3030000,1
3031200,1
3031203,1
3040000,1
3050000,1
3050004,1
3070000,1
3080000,1
3090000,1
3090006,1
3093100,1
3100000,1
3100004,1
3100005,1
3110000,1
3120000,1
3120003,0
3120004,1
3121100,1
3130000,1
3130003,0
3140000,1
3143100,1
3150000,1
3153100,1
3170000,1
3170004,0
3173100,1
3180000,1
3180003,1
3180006,0
3183100,0
3190000,1
3190005,1
3191100,1
3193100,1
3200000,1
3203100,1
3220000,0
3240000,1
3240005,0
3243100,1
3243200,1
3250000,1
3260000,1
3260003,1
3270000,1
3280000,1
3280003,1
3283100,1
3290000,1
3290003,0
3290004,0
3300000,1
4010000,1
4020000,1
4020005,1
4030000,1
4032100,0
4040000,1
4040007,0
4050000,1
4060000,1
4063100,0
4063200,0
4070000,1
4070003,1
4070008,1
4070009,1
4073100,1
4090000,1
4090005,1
4100000,1
4100004,1
4100005,1
4102100,1
4103100,1
4110000,1
4130000,1
4130006,0
4132100,1
4140000,1
4140004,1
4143100,0
4150000,1
4160000,1
4160004,1
4170000,1
4180000,1
4190000,1
4190003,0
4200000,1
4200003,0
4210000,1
4220000,1
4220005,1
4220006,1
4222200,1
4230000,1
4232100,0
4240000,1
4242200,1
4250000,1
4253100,1
4260000,1
4260002,0
4260005,1
4270000,1
4270001,1
4280000,1
4290000,1
4292100,0
4300000,1
4300002,0
4302200,1
5010000,0
5013100,0
5030000,0
5030002,1
5040000,1
5040004,0
5040005,0
5060000,0
5060004,0
5070000,0
5080000,0
5090000,1
5090009,1
5100000,0
5100003,0
5110000,0
5130000,0
5130002,1
5131200,0
5140000,0
5140005,0
5140006,0
5143100,0
5150000,0
5160000,1
5160003,0
5160004,1
5170000,0
5170003,0
5180000,0
5200000,0
6010000,0
6020000,0
6023100,0
6030000,1
6030003,1
6030004,1
6040000,1
6040005,0
6040007,0
6041100,1
6043100,0
6060000,0
6070000,1
6080000,0
6080003,0
6080004,1
6090000,1
6090003,1
6090005,1
6100000,1
6100003,0
6100004,1
6110000,0
6110005,1
6113100,1
6113103,1
6120000,1
6121100,0
6123100,1
6130000,0
6140000,1
6140004,0
6140005,0
6160000,0
6170000,1
6170003,1
6171100,0
6180000,1
6181100,0
6190000,1
6193100,1
6200000,1
6200004,0
7010000,1
7010002,1
7020000,1
7030000,1
7033100,1
7040000,1
7050000,1
7050003,1
7060000,1
7060003,1
7060004,0
7070000,1
7072100,1
7080000,0
7081100,0
7090000,1
7100000,1
7110000,1
7120000,1
7130000,1
7130005,1
