edu_level,pidlink
1,1060001
,1060002
,1060003
1,1060004
1,1060004
,1060005
,1060006
0,1060007
2,1060008
1,1060009
0,1060010
0,1060011
2,1065102
0,1065103
0,1065104
1,1080001
,1080002
0,1080003
1,1080003
1,1080004
1,1080005
1,1080006
0,1080007
1,1080008
1,1080009
3,1080010
,1080011
1,1080012
0,1080012
1,1085103
1,1085104
1,1085105
1,1085106
0,1085107
1,1220001
1,1220002
3,1220003
4,1220003
1,1220004
1,1220005
4,1220006
3,1220007
4,1220008
4,1220008
4,1220009
4,1220009
2,1220010
2,1220011
2,1220011
,1220012
2,1220013
2,1220013
1,1220014
1,1220015
2,1224104
1,1224105
0,1224106
,1240001
1,1240002
1,1240003
0,1240004
1,1240005
0,1240005
2,1240006
4,1240007
2,1240008
2,1240009
2,1240009
4,1240010
,1240011
4,1240012
4,1240013
3,1240014
,1240015
3,1240016
2,1240017
2,1240018
1,1240019
1,1240020
1,1240021
0,1240022
0,1240023
4,1240024
0,1240025
1,1245101
4,1245103
2,1245104
1,1245105
1,1245106
0,1245107
2,1245201
1,1245203
,1250001
,1250002
1,1250003
,1250004
1,1250005
1,1250006
1,1250007
1,1250008
1,1250009
1,1250010
1,1250011
0,1250012
0,1250013
1,1290001
0,1290002
0,1290002
1,1290003
1,1290003
1,1290004
1,1290004
1,1290005
1,1290005
1,1290006
1,1290007
2,1290008
0,1290009
1,1290010
1,1290010
1,1290011
1,1290011
,1290012
1,1295101
1,1295103
1,1295104
0,1295105
0,1295202
0,1295203
0,1295204
0,1295205
0,1295206
1,1295304
0,1295305
,2010001
0,2010002
1,2010003
3,2010004
4,2010005
1,2010006
1,2010006
4,2010007
3,2010008
2,2010008
1,2010009
1,2010010
3,2010011
2,2015101
0,2015103
1,2020001
,2020002
,2020003
,2020004
0,2020005
,2020006
1,2020007
2,2020008
1,2020009
0,2020010
2,2020011
0,2030002
,2030009
1,2040001
0,2040002
2,2040003
1,2040003
4,2040004
4,2040004
1,2040005
3,2040006
2,2040006
3,2040007
2,2040008
1,2040009
1,2040011
0,2044101
2,2044102
1,2044104
1,2044105
0,2044106
3,2044201
2,2044202
2,2044204
3,2044205
,2050001
1,2050002
1,2050003
,2050004
1,2050005
1,2050006
1,2050007
0,2050008
0,2050009
1,2050010
,2060001
0,2060002
0,2060003
0,2060004
0,2060004
1,2060005
1,2060006
2,2060007
2,2060008
1,2060009
0,2060010
3,2065101
2,2065103
1,2065104
1,2065105
1,2065106
1,2065107
0,2065108
0,2110006
1,2110007
4,2110008
4,2110009
4,2110009
0,2114201
0,2114202
4,2114203
3,2114204
1,2114205
1,2114207
1,2114208
3,2114304
2,2114305
0,2114306
0,2130001
0,2130002
0,2130003
0,2130004
0,2130005
,2130006
1,2150001
1,2150002
3,2150003
,2150004
2,2150005
2,2150006
1,2150007
,2180001
1,2180002
0,2180003
0,2180003
,2180004
2,2180005
2,2180006
1,2180007
1,2180007
2,2180008
,2180009
3,2180010
1,2180011
1,2180012
0,2180013
0,2180014
1,2180015
1,2183101
1,2184101
0,2184103
0,2184104
0,2184105
0,2190001
0,2190002
0,2190003
0,2190004
3,2190005
3,2190005
1,2190006
1,2190007
1,2190008
1,2190009
0,2190010
0,2190011
0,2190012
1,2190013
2,2195101
1,2195102
1,2195103
4,2200001
2,2200002
4,2200003
4,2200004
4,2200005
0,2210001
,2210002
0,2210003
1,2210004
1,2210005
1,2210006
,2210007
0,2210008
1,2210009
0,2220001
0,2220002
,2220003
3,2220004
2,2220005
,2250001
0,2250002
,2250003
4,2250004
4,2250005
4,2250006
4,2250006
,2250007
,2250008
0,2250009
4,2250010
3,2254102
0,2260001
0,2260002
,2260003
1,2260004
1,2260005
1,2260006
1,2260007
1,2260008
0,2260009
0,2260010
1,2260011
4,2270005
4,2270005
4,2274101
2,2274102
1,2274104
1,2274105
0,2274106
4,2274107
4,2274108
1,2290001
0,2290002
0,2290002
3,2290003
3,2290003
3,2290004
,2290005
,2290006
1,2290007
1,2290007
2,2290008
1,2290009
0,2290010
0,2294202
1,2294203
1,2294204
0,2294205
2,2295103
,2300001
,2300002
1,2300003
0,2300004
,2300005
1,2300006
1,2300007
0,2300008
1,2300009
1,2300010
1,2300011
1,2300012
0,2300013
1,2300014
1,2300015
1,2300016
1,2300017
1,3010001
1,3010002
1,3010003
1,3010004
1,3010004
3,3010005
3,3010005
1,3010006
3,3010007
3,3010007
3,3010008
3,3010008
3,3010009
1,3010010
3,3014101
1,3014103
1,3014104
0,3014105
2,3015102
0,3015103
3,3015104
,3015202
0,3015203
0,3015204
1,3015301
0,3015303
1,3020001
1,3020002
3,3020003
2,3020004
3,3020005
3,3020005
3,3020005
3,3020006
2,3020007
2,3020008
2,3020009
4,3020010
1,3020011
1,3020012
1,3024101
3,3024103
3,3024104
3,3024105
0,3025102
0,3025103
,3030001
4,3030002
3,3030003
4,3030004
3,3030005
3,3030005
,3030006
3,3030007
3,3030008
2,3030009
1,3030010
0,3030011
3,3031201
3,3031201
3,3031203
3,3031203
3,3031204
3,3031204
2,3031205
,3031206
1,3031207
3,3034202
1,3034205
1,3040001
1,3040002
3,3040003
3,3040003
4,3040004
3,3040005
3,3040006
3,3040007
3,3040007
1,3040008
0,3040009
2,3045101
0,3045103
4,3050001
1,3050002
3,3050003
3,3050003
3,3050004
3,3050004
3,3050005
3,3050006
3,3050006
3,3050007
3,3050008
3,3050009
3,3050009
3,3050010
0,3050011
3,3054101
1,3054103
0,3054104
0,3054105
2,3055101
2,3055103
1,3055104
1,3055105
0,3055106
3,3055202
0,3055203
4,3055302
4,3055303
0,3055304
,3070001
3,3070002
2,3070003
2,3070004
1,3070005
0,3070005
,3080001
1,3080002
2,3080003
3,3080004
3,3080005
2,3080006
3,3080007
3,3080008
3,3080009
,3090001
3,3090002
3,3090003
3,3090004
3,3090005
3,3090005
4,3090006
4,3090006
4,3090007
3,3090008
3,3090008
3,3090009
3,3090010
3,3090011
2,3090012
,3090013
2,3090014
3,3090015
3,3090016
2,3090017
2,3090018
3,3090019
3,3094102
0,3094103
0,3094104
3,3094105
0,3095102
0,3095103
0,3095104
1,3095105
4,3095106
,3100001
1,3100002
3,3100003
3,3100004
2,3100004
2,3100005
2,3100005
3,3100006
3,3100006
3,3104103
2,3104104
1,3104105
1,3104106
3,3104201
1,3110001
1,3110002
3,3110003
3,3110003
2,3110004
2,3110005
,3110006
3,3115101
0,3115103
0,3115104
3,3120001
1,3120002
4,3120003
4,3120003
4,3120004
4,3120004
1,3120005
2,3120005
,3120006
4,3120007
2,3120008
1,3120009
3,3121103
3,3121104
2,3121105
,3121106
0,3121107
4,3124102
4,3124103
4,3124104
4,3124105
1,3130001
3,3130002
2,3130003
2,3130003
2,3130004
2,3130004
2,3130005
3,3130006
3,3130007
1,3130008
1,3134102
0,3134104
3,3134105
0,3134106
3,3134107
,3140001
1,3140002
1,3140003
1,3140004
2,3140004
2,3140005
1,3140006
3,3140007
3,3140008
2,3140009
2,3140010
3,3140011
2,3140012
1,3140013
3,3140014
3,3143101
1,3143103
1,3143104
0,3143105
0,3143106
1,3150001
3,3150002
2,3150003
2,3150003
1,3150004
1,3150007
1,3150008
3,3153101
3,3153103
2,3153104
3,3155101
0,3155103
2,3170001
3,3170002
4,3170002
3,3170003
3,3170003
4,3170004
3,3170004
3,3170005
3,3170005
3,3170006
3,3170006
3,3170006
2,3173104
1,3173105
1,3173106
3,3174102
2,3174103
1,3174104
0,3175102
4,3175201
0,3175203
,3180001
4,3180002
4,3180003
4,3180003
3,3180004
3,3180004
3,3180005
3,3180005
4,3180006
4,3180006
4,3180007
,3183101
0,3183103
4,3183104
3,3184101
1,3184103
1,3184104
0,3184105
4,3184202
0,3184203
0,3184204
3,3185101
0,3185103
3,3190001
2,3190002
3,3190003
3,3190003
2,3190004
2,3190004
3,3190005
3,3190005
3,3191101
,3191103
1,3191104
,3191105
1,3191106
