pidlink,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration
1220001.0,1,0,0,0,0,0
1220002.0,1,0,0,0,0,0
1220006.0,1,0,0,0,0,0
1250003.0,1,0,0,0,0,0
1250008.0,1,0,0,0,0,0
1290001.0,1,0,0,0,0,0
2010002.0,1,0,0,0,0,0
2010003.0,1,0,0,0,0,0
2010004.0,1,0,0,0,0,0
2020001.0,1,0,0,0,0,0
2030002.0,1,0,0,0,0,0
2040001.0,1,0,0,0,0,0
2040004.0,0,0,0,0,1,0
2060002.0,1,0,0,0,0,0
2060006.0,1,0,0,0,0,0
2180002.0,1,0,0,0,0,0
2180005.0,1,0,0,0,0,0
2180006.0,0,0,0,0,1,0
2183101.0,0,0,0,0,1,0
2190002.0,1,0,0,0,0,0
2190003.0,1,0,0,0,0,0
2190004.0,1,0,0,0,0,0
2210001.0,1,0,0,0,0,0
2220001.0,1,0,0,0,0,0
2220002.0,1,0,0,0,0,0
2250002.0,1,0,0,0,0,0
2250004.0,0,0,0,0,1,0
2260002.0,1,0,0,0,0,0
2260008.0,1,0,0,0,0,0
3010002.0,1,0,0,0,0,0
3020001.0,1,0,0,0,0,0
3020005.0,1,0,0,0,0,0
3030003.0,1,0,0,0,0,0
3030007.0,1,0,0,0,0,0
3030005.0,1,0,0,0,0,0
3040002.0,1,0,0,0,0,0
3040004.0,1,0,0,0,0,0
3050001.0,1,0,0,0,0,0
3050002.0,1,0,0,0,0,0
3050005.0,1,0,0,0,0,0
3050007.0,0,0,0,0,1,0
3050008.0,0,0,0,0,1,0
3070002.0,0,0,0,0,1,0
3080002.0,1,0,0,0,0,0
3090002.0,1,0,0,0,0,0
3100003.0,1,0,0,0,0,0
3110002.0,1,0,0,0,0,0
3120001.0,1,0,0,0,0,0
3120002.0,1,0,0,0,0,0
3090008.0,1,0,0,0,0,0
3120005.0,1,0,0,0,0,0
3130002.0,0,0,0,0,1,0
3140005.0,1,0,0,0,0,0
3140006.0,1,0,0,0,0,0
3140004.0,1,0,0,0,0,0
3150001.0,1,0,0,0,0,0
3150002.0,1,0,0,0,0,0
3153101.0,1,0,0,0,0,0
3180002.0,1,0,0,0,0,0
3180007.0,0,0,0,0,1,0
3180004.0,0,0,1,0,0,0
3190001.0,1,0,0,0,0,0
3190002.0,1,0,0,0,0,0
3190004.0,1,0,0,0,0,0
3191101.0,1,0,0,0,0,0
3190003.0,0,0,0,1,0,0
3193102.0,0,0,0,1,0,0
3200005.0,1,0,0,0,0,0
3200003.0,1,0,0,0,0,0
3203105.0,1,0,0,0,0,0
3240007.0,1,0,0,0,0,0
3240008.0,1,0,0,0,0,0
3240010.0,1,0,0,0,0,0
3240002.0,1,0,0,0,0,0
3240006.0,1,0,0,0,0,0
3240003.0,1,0,0,0,0,0
3243207.0,1,0,0,0,0,0
3250004.0,1,0,0,0,0,0
3250005.0,1,0,0,0,0,0
3260001.0,1,0,0,0,0,0
3270002.0,1,0,0,0,0,0
3280002.0,1,0,0,0,0,0
3280003.0,0,0,0,0,1,0
3290001.0,1,0,0,0,0,0
3290002.0,1,0,0,0,0,0
3300003.0,1,0,0,0,0,0
4010002.0,1,0,0,0,0,0
4020002.0,1,0,0,0,0,0
4030003.0,1,0,0,0,0,0
4030008.0,0,0,1,0,0,0
4040003.0,0,0,0,0,1,0
4050001.0,1,0,0,0,0,0
4050002.0,1,0,0,0,0,0
4060002.0,1,0,0,0,0,0
4070002.0,1,0,0,0,0,0
4070008.0,0,0,0,0,1,0
4090003.0,1,0,0,0,0,0
4090007.0,1,0,0,0,0,0
4090008.0,1,0,0,0,0,0
4100001.0,1,0,0,0,0,0
4100009.0,0,0,0,0,1,0
4100003.0,1,0,0,0,0,0
4100002.0,1,0,0,0,0,0
4103102.0,1,0,0,0,0,0
4130001.0,1,0,0,0,0,0
4130002.0,1,0,0,0,0,0
4130003.0,1,0,0,0,0,0
4132102.0,0,0,0,0,1,0
4140002.0,1,0,0,0,0,0
4150003.0,1,0,0,0,0,0
4150004.0,1,0,0,0,0,0
4160001.0,1,0,0,0,0,0
4160002.0,1,0,0,0,0,0
4160004.0,0,0,0,1,0,0
4170004.0,0,0,0,1,0,0
4200001.0,1,0,0,0,0,0
4200002.0,1,0,0,0,0,0
4220004.0,1,0,0,0,0,0
4230001.0,1,0,0,0,0,0
4230002.0,1,0,0,0,0,0
4230003.0,0,0,0,0,0,1
4232102.0,0,0,0,0,0,1
4240001.0,1,0,0,0,0,0
4240002.0,0,0,0,0,1,0
4240006.0,0,0,0,0,1,0
4240004.0,1,0,0,0,0,0
4242202.0,1,0,0,0,0,0
4250001.0,1,0,0,0,0,0
4250003.0,1,0,0,0,0,0
4253102.0,1,0,0,0,0,0
4260006.0,1,0,0,0,0,0
4280004.0,1,0,0,0,0,0
4290001.0,1,0,0,0,0,0
4290004.0,1,0,0,0,0,0
4300005.0,1,0,0,0,0,0
5010003.0,0,1,0,0,0,0
5013102.0,0,1,0,0,0,0
5030001.0,0,1,0,0,0,0
5060001.0,0,1,0,0,0,0
5060002.0,0,1,0,0,0,0
5070001.0,0,1,0,0,0,0
5070002.0,0,1,0,0,0,0
5080002.0,0,1,0,0,0,0
5080003.0,0,1,0,0,0,0
5090001.0,1,0,0,0,0,0
5090002.0,1,0,0,0,0,0
5100001.0,0,1,0,0,0,0
5100002.0,0,1,0,0,0,0
5110005.0,0,1,0,0,0,0
5130005.0,0,1,0,0,0,0
5131203.0,0,1,0,0,0,0
5140001.0,0,1,0,0,0,0
5140002.0,0,1,0,0,0,0
5140003.0,0,1,0,0,0,0
5150001.0,0,1,0,0,0,0
5150002.0,0,1,0,0,0,0
5160001.0,1,0,0,0,0,0
5160002.0,1,0,0,0,0,0
5160006.0,1,0,0,0,0,0
5170002.0,0,1,0,0,0,0
5170004.0,0,0,0,0,0,1
5180001.0,0,1,0,0,0,0
5180002.0,0,1,0,0,0,0
5200005.0,0,0,0,0,0,1
